2022-01-26 08:21:05.528+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 08:21:10.529+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 08:21:10.529+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 08:21:15.513+10:00 | nioEventLoopGroup-3-2 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 08:21:15.515+10:00 | nioEventLoopGroup-3-2 | DEBUG | ApiHandler | Received Wire PING
2022-01-26 08:21:15.515+10:00 | nioEventLoopGroup-3-2 | DEBUG | ApiHandler | Received Wire PONG
2022-01-26 08:21:15.531+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 08:21:15.531+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 08:21:16.307+10:00 | nioEventLoopGroup-3-2 | DEBUG | EthProtocolManager | Disconnect - Inbound - 0x08 CLIENT_QUITTING - PeerInfo{version=5, clientId='besu/v22.1.0-RC2-dev-2786ce91/osx-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, eth/65, eth/66, IBF/1], port=30303, nodeId=0x0b384cd0f14a487b11525205b9542f4dae3e2c573be1148432cb6e84209c1b3869cf83854c841456e8f98dc611f3f89e3fed18a7dd1862c5540bccb970813d73} - 1 peers left
2022-01-26 08:21:20.532+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:21:20.532+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:21:25.534+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:21:25.534+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:21:30.049+10:00 | vert.x-eventloop-thread-1 | DEBUG | PeerDiscoveryController | Peer table refresh triggered by insufficient peers
2022-01-26 08:21:30.054+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Start peer search.
2022-01-26 08:21:30.054+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 08:21:30.054+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Initiating neighbours round with 1 candidates from 1 tracked nodes
2022-01-26 08:21:30.069+10:00 | nioEventLoopGroup-3-3 | DEBUG | RlpxAgent | Failed to connect to peer 0x0b384cd0f14a487b11525205b9542f4dae3e2c573be1148432cb6e84209c1b3869cf83854c841456e8f98dc611f3f89e3fed18a7dd1862c5540bccb970813d73: io.netty.channel.AbstractChannel$AnnotatedConnectException: Connection refused: /127.0.0.1:30303
2022-01-26 08:21:30.540+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:21:30.540+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:21:35.057+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Neighbours round timed out
2022-01-26 08:21:35.057+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 08:21:35.057+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Iterative peer search complete.  1 peers processed over 2 rounds.
2022-01-26 08:21:35.541+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:21:35.541+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
^C^C2022-01-26 08:21:38.066+10:00 | Thread-1 | DEBUG | BesuPluginContextImpl | Plugin shutdown complete.
^C2022-01-26 08:21:38.446+10:00 | pool-8-thread-1 | INFO  | BftProcessor | Shutting down BFT event processor
2022-01-26 08:21:38.447+10:00 | Thread-1 | INFO  | DefaultSynchronizer | Stopping synchronizer
2022-01-26 08:21:38.448+10:00 | Thread-1 | INFO  | NetworkRunner | Stopping Network.
2022-01-26 08:21:38.452+10:00 | nioEventLoopGroup-3-1 | DEBUG | PoolThreadCache | Freed 4 thread-local buffer(s) from thread: nioEventLoopGroup-3-1
2022-01-26 08:21:38.452+10:00 | nioEventLoopGroup-3-2 | DEBUG | PoolThreadCache | Freed 4 thread-local buffer(s) from thread: nioEventLoopGroup-3-2
2022-01-26 08:21:38.453+10:00 | Thread-1 | INFO  | EthProtocolManager | Stopping eth Subprotocol.
2022-01-26 08:21:38.453+10:00 | Thread-1 | INFO  | EthProtocolManager | eth Subprotocol stopped.
2022-01-26 08:21:38.454+10:00 | Thread-1 | INFO  | NetworkRunner | Network stopped.
2022-01-26 08:21:38.454+10:00 | Thread-1 | INFO  | AutoTransactionLogBloomCachingService | Shutting down Auto transaction logs caching service.
2022-01-26 08:21:38.454+10:00 | Thread-1 | INFO  | NatService | No NAT environment detected so no service could be stopped
2022-01-26 08:21:38.531+10:00 | vert.x-eventloop-thread-1 | DEBUG | PoolThreadCache | Freed 3 thread-local buffer(s) from thread: vert.x-eventloop-thread-1
