2022-01-26 08:20:50.511+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:20:50.511+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:20:51.932+10:00 | vert.x-worker-thread-6 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:55.517+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:20:55.517+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:20:55.551+10:00 | vert.x-eventloop-thread-1 | DEBUG | PeerDiscoveryController | Peer table refresh triggered by timer expiry
2022-01-26 08:20:55.552+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Start peer search.
2022-01-26 08:20:55.552+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 08:20:55.553+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Initiating neighbours round with 1 candidates from 1 tracked nodes
2022-01-26 08:20:55.563+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Received neighbours packet with 1 neighbours
2022-01-26 08:20:55.563+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 08:20:55.563+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Iterative peer search complete.  1 peers processed over 2 rounds.
2022-01-26 08:20:56.435+10:00 | vert.x-worker-thread-10 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:21:00.510+10:00 | nioEventLoopGroup-3-1 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 08:21:00.511+10:00 | nioEventLoopGroup-3-1 | DEBUG | ApiHandler | Received Wire PING
2022-01-26 08:21:00.512+10:00 | nioEventLoopGroup-3-1 | DEBUG | ApiHandler | Received Wire PONG
2022-01-26 08:21:00.523+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:21:00.523+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:21:05.528+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:21:05.528+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:21:10.529+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:21:10.529+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:21:15.513+10:00 | nioEventLoopGroup-3-1 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 08:21:15.515+10:00 | nioEventLoopGroup-3-1 | DEBUG | ApiHandler | Received Wire PING
2022-01-26 08:21:15.515+10:00 | nioEventLoopGroup-3-1 | DEBUG | ApiHandler | Received Wire PONG
2022-01-26 08:21:15.531+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:21:15.531+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
^C2022-01-26 08:21:16.238+10:00 | Thread-1 | DEBUG | BesuPluginContextImpl | Plugin shutdown complete.
2022-01-26 08:21:16.298+10:00 | pool-8-thread-1 | INFO  | BftProcessor | Shutting down BFT event processor
2022-01-26 08:21:16.299+10:00 | Thread-1 | INFO  | DefaultSynchronizer | Stopping synchronizer
2022-01-26 08:21:16.300+10:00 | Thread-1 | INFO  | NetworkRunner | Stopping Network.
2022-01-26 08:21:16.304+10:00 | Thread-1 | DEBUG | EthProtocolManager | Disconnect - Outbound - 0x08 CLIENT_QUITTING - PeerInfo{version=5, clientId='besu/v22.1.0-RC2-dev-2786ce91/osx-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, eth/65, eth/66, IBF/1], port=40404, nodeId=0x2d74dd39360f37a29585c0fac62979f77403037cda9f66d364955d222b73550f89260a35654c003669bd8de1095a22898cea68ddab96e745c94dc9b2533643fe} - 0 peers left
2022-01-26 08:21:16.306+10:00 | nioEventLoopGroup-3-2 | DEBUG | PoolThreadCache | Freed 4 thread-local buffer(s) from thread: nioEventLoopGroup-3-2
2022-01-26 08:21:16.307+10:00 | Thread-1 | INFO  | EthProtocolManager | Stopping eth Subprotocol.
2022-01-26 08:21:16.309+10:00 | Thread-1 | INFO  | EthProtocolManager | eth Subprotocol stopped.
2022-01-26 08:21:16.309+10:00 | Thread-1 | INFO  | NetworkRunner | Network stopped.
2022-01-26 08:21:16.309+10:00 | Thread-1 | INFO  | AutoTransactionLogBloomCachingService | Shutting down Auto transaction logs caching service.
2022-01-26 08:21:16.310+10:00 | Thread-1 | INFO  | NatService | No NAT environment detected so no service could be stopped
2022-01-26 08:21:16.422+10:00 | vert.x-eventloop-thread-1 | DEBUG | PoolThreadCache | Freed 3 thread-local buffer(s) from thread: vert.x-eventloop-thread-1
